Point,raw,averaged
1460,317,318
1461,318,316
1462,312,313
1463,317,315
1464,312,312
1465,316,315
1466,307,308
1467,313,312
1468,308,308
1469,313,312
1470,308,306
1471,309,309
1472,309,308
1473,312,312
1474,311,310
1475,312,311
1476,312,312
1477,312,312
1478,317,315
1479,314,313
1480,318,316
1481,316,315
1482,321,320
1483,319,318
1484,323,323
1485,320,320
1486,324,324
1487,320,320
1488,326,325
1489,325,323
1490,324,325
1491,323,324
1492,324,324
1493,326,326
1494,322,322
1495,324,324
1496,320,322
1497,325,324
1498,323,322
1499,326,324
1500,320,319
1501,323,322
1502,319,317
1503,319,320
1504,317,318
1505,318,319
1506,318,318
1507,316,316
1508,317,317
1509,313,314
1510,317,316
1511,312,312
1512,314,314
1513,310,309
1514,314,313
1515,311,309
1516,315,314
1517,310,310
1518,313,313
1519,311,310
1520,313,312
1521,315,313
1522,314,313
1523,315,314
1524,316,315
1525,316,316
1526,314,314
1527,319,318
1528,316,316
1529,321,322
1530,316,318
1531,325,324
1532,324,322
1533,326,327
1534,324,323
1535,323,324
1536,325,324
1537,325,324
1538,326,324
1539,324,325
1540,327,325
1541,323,323
1542,326,325
1543,321,320
1544,324,324
1545,319,318
1546,321,321
1547,318,318
1548,320,320
1549,317,317
1550,319,319
1551,318,316
1552,316,316
1553,318,318
1554,317,316
1555,319,318
1556,315,314
1557,318,316
1558,312,310
1559,314,314
1560,311,310
1561,313,312
1562,307,307
1563,309,310
1564,306,305
1565,303,304
1566,303,301
1567,301,302
1568,300,299
1569,299,300
1570,301,301
1571,300,301
1572,301,302
1573,302,301
1574,304,305
1575,302,302
1576,307,307
1577,306,305
1578,310,309
1579,309,309
1580,310,311
1581,313,311
1582,314,315
1583,314,314
1584,314,315
1585,320,318
1586,314,315
1587,321,320
1588,316,316
1589,322,321
1590,319,318
1591,323,323
1592,320,318
1593,323,322
1594,318,318
1595,323,322
1596,323,321
1597,323,322
1598,324,322
1599,322,322
1600,323,323
1601,322,323
1602,326,325
1603,322,323
1604,326,325
1605,321,321
1606,324,324
1607,322,320
1608,322,323
1609,319,318
1610,321,322
1611,319,317
1612,318,317
1613,317,316
1614,315,315
1615,315,314
1616,312,311
1617,313,312
1618,308,307
1619,309,308
1620,305,306
1621,310,308
1622,303,303
1623,308,308
1624,303,305
1625,310,310
1626,310,309
1627,312,312
1628,314,312
1629,313,313
1630,316,315
1631,316,316
1632,318,318
1633,319,320
1634,324,323
1635,323,321
1636,328,328
1637,325,325
1638,330,330
1639,327,325
1640,331,330
1641,327,325
1642,329,328
1643,328,326
1644,327,328
1645,330,329
1646,328,327
1647,330,329
1648,328,327
1649,329,329
1650,325,325
1651,328,326
1652,322,321
1653,324,324
1654,318,318
